,Great Knot,Calidris tenuirostris,4,
,Red Knot,Calidris canutus,1,
,Surfbird,Calidris virgata,1,
,Ruff,Calidris pugnax,3,
,Broad-billed Sandpiper,Calidris falcinellus,4,
,Sharp-tailed Sandpiper,Calidris acuminata,3,
,Stilt Sandpiper,Calidris himantopus,1,
,Curlew Sandpiper,Calidris ferruginea,3,
,Temminck's Stint,Calidris temminckii,3,
,Long-toed Stint,Calidris subminuta,3,
,Spoon-billed Sandpiper,Calidris pygmeus,4,
,Red-necked Stint,Calidris ruficollis,3,
,Sanderling,Calidris alba,1,
,Dunlin,Calidris alpina,1,
,Rock Sandpiper,Calidris ptilocnemis,2,
,Purple Sandpiper,Calidris maritima,1,
,Baird's Sandpiper,Calidris bairdii,1,
,Little Stint,Calidris minuta,4,
,Least Sandpiper,Calidris minutilla,1,
,White-rumped Sandpiper,Calidris fuscicollis,1,
,Buff-breasted Sandpiper,Calidris subruficollis,1,
,Pectoral Sandpiper,Calidris melanotos,1,
,Semipalmated Sandpiper,Calidris pusilla,1,
,Western Sandpiper,Calidris mauri,1,
,Short-billed Dowitcher,Limnodromus griseus,1,
,Long-billed Dowitcher,Limnodromus scolopaceus,1,
,Jack Snipe,Lymnocryptes minimus,4,
,Solitary Snipe,Gallinago solitaria,5,
,Wilson's Snipe,Gallinago delicata,1,
,Common Snipe,Gallinago gallinago,3,
,Pin-tailed Snipe,Gallinago stenura,5,
,Eurasian Woodcock,Scolopax rusticola,5,
,American Woodcock,Scolopax minor,1,
,Wilson's Phalarope,Phalaropus tricolor,1,
,Red-necked Phalarope,Phalaropus lobatus,1,
,Red Phalarope,Phalaropus fulicarius,1,
Pratincoles (Glareolidae),Oriental Pratincole,Glareola maldivarum,5,
Skuas and Jaegers (Stercorariidae),Great Skua,Stercorarius skua,3,
,South Polar Skua,Stercorarius maccormicki,2,
,Pomarine Jaeger,Stercorarius pomarinus,1,
,Parasitic Jaeger,Stercorarius parasiticus,1,
,Long-tailed Jaeger,Stercorarius longicaudus,1,
"Auks, Murres, and Puffins (Alcidae)",Dovekie,Alle alle,2,
,Common Murre,Uria aalge,1,
,Thick-billed Murre,Uria lomvia,1,
,Razorbill,Alca torda,1,
,Great Auk,Pinguinus impennis,6,
,Black Guillemot,Cepphus grylle,1,
,Pigeon Guillemot,Cepphus columba,1,
,Long-billed Murrelet,Brachyramphus perdix,3,
,Marbled Murrelet,Brachyramphus marmoratus,1,
,Kittlitz's Murrelet,Brachyramphus brevirostris,2,
,Scripps's Murrelet,Synthliboramphus scrippsi,2,
,Guadalupe Murrelet,Synthliboramphus hypoleucus,3,
,Craveri's Murrelet,Synthliboramphus craveri,3,
,Ancient Murrelet,Synthliboramphus antiquus,2,
,Cassin's Auklet,Ptychoramphus aleuticus,1,
,Parakeet Auklet,Aethia psittacula,2,
,Least Auklet,Aethia pusilla,2,
,Whiskered Auklet,Aethia pygmaea,2,
,Crested Auklet,Aethia cristatella,2,
,Rhinoceros Auklet,Cerorhinca monocerata,1,
,Atlantic Puffin,Fratercula arctica,1,
,Horned Puffin,Fratercula corniculata,1,
,Tufted Puffin,Fratercula cirrhata,1,
"Gulls, Terns, and Skimmers (Laridae)",Swallow-tailed Gull,Creagrus furcatus,5,
,Black-legged Kittiwake,Rissa tridactyla,1,
,Red-legged Kittiwake,Rissa brevirostris,2,
,Ivory Gull,Pagophila eburnea,3,
,Sabine's Gull,Xema sabini,1,
,Bonaparte's Gull,Chroicocephalus philadelphia,1,
,Gray-hooded Gull,Chroicocephalus cirrocephalus,5,
,Black-headed Gull,Chroicocephalus ridibundus,3,
,Little Gull,Hydrocoloeus minutus,3,
,Ross's Gull,Rhodostethia rosea,3,
,Laughing Gull,Leucophaeus atricilla,1,
,Franklin's Gull,Leucophaeus pipixcan,1,
,Belcher's Gull,Larus belcheri,5,
,Black-tailed Gull,Larus crassirostris,4,
,Heermann's Gull,Larus heermanni,1,
,Mew Gull,Larus canus,1,
,Ring-billed Gull,Larus delawarensis,1,
,Western Gull,Larus occidentalis,1,
,Yellow-footed Gull,Larus livens,2,
,California Gull,Larus californicus,1,
,Herring Gull,Larus argentatus,1,
,Yellow-legged Gull,Larus michahellis,4,
,Thayer's Gull,Larus thayeri,2,
,Iceland Gull,Larus glaucoides,2,
,Lesser Black-backed Gull,Larus fuscus,2,
,Slaty-backed Gull,Larus schistisagus,3,
,Glaucous-winged Gull,Larus glaucescens,1,
,Glaucous Gull,Larus hyperboreus,1,
,Great Black-backed Gull,Larus marinus,1,
,Kelp Gull,Larus dominicanus,4,
,Brown Noddy,Anous stolidus,2,
,Black Noddy,Anous minutus,3,
,Sooty Tern,Onychoprion fuscatus,2,
,Bridled Tern,Onychoprion anaethetus,2,
,Aleutian Tern,Onychoprion aleuticus,2,
,Least Tern,Sternula antillarum,1,
,Large-billed Tern,Phaetusa simplex,5,
,Gull-billed Tern,Gelochelidon nilotica,1,
,Caspian Tern,Hydroprogne caspia,1,
,Black Tern,Chlidonias niger,1,
,White-winged Tern,Chlidonias leucopterus,4,
,Whiskered Tern,Chlidonias hybrida,5,
,Roseate Tern,Sterna dougallii,2,
,Common Tern,Sterna hirundo,1,
,Arctic Tern,Sterna paradisaea,1,
,Forster's Tern,Sterna forsteri,1,
,Royal Tern,Thalasseus maximus,1,
,Sandwich Tern,Thalasseus sandvicensis,1,
,Elegant Tern,Thalasseus elegans,1,
,Black Skimmer,Rynchops niger,1,
Pigeons and Doves (Columbidae),Rock Pigeon,Columba livia,1,
,Scaly-naped Pigeon,Patagioenas squamosa,5,
,White-crowned Pigeon,Patagioenas leucocephala,2,
,Red-billed Pigeon,Patagioenas flavirostris,2,
,Band-tailed Pigeon,Patagioenas fasciata,1,
,Oriental Turtle-Dove,Streptopelia orientalis,4,
,European Turtle-Dove,Streptopelia turtur,5,
,Eurasian Collared-Dove,Streptopelia decaocto,1,
,Spotted Dove,Streptopelia chinensis,2,
,Passenger Pigeon,Ectopistes migratorius,6,
,Inca Dove,Columbina inca,1,
,Common Ground-Dove,Columbina passerina,1,
,Ruddy Ground-Dove,Columbina talpacoti,3,
,Ruddy Quail-Dove,Geotrygon montana,5,
,Key West Quail-Dove,Geotrygon chrysia,4,
,White-tipped Dove,Leptotila verreauxi,2,
,White-winged Dove,Zenaida asiatica,1,
,Zenaida Dove,Zenaida aurita,5,
,Mourning Dove,Zenaida macroura,1,
"Cuckoos, Roadrunners, and Anis (Cuculidae)",Common Cuckoo,Cuculus canorus,3,
,Oriental Cuckoo,Cuculus optatus,4,
,Yellow-billed Cuckoo,Coccyzus americanus,1,
,Mangrove Cuckoo,Coccyzus minor,2,
,Black-billed Cuckoo,Coccyzus erythropthalmus,1,
,Greater Roadrunner,Geococcyx californianus,1,
,Smooth-billed Ani,Crotophaga ani,3,
,Groove-billed Ani,Crotophaga sulcirostris,2,
Barn Owls (Tytonidae),Barn Owl,Tyto alba,1,
Typical Owls (Strigidae),Flammulated Owl,Psiloscops flammeolus,2,
,Oriental Scops-Owl,Otus sunia,5,
,Western Screech-Owl,Megascops kennicottii,1,
,Eastern Screech-Owl,Megascops asio,1,
,Whiskered Screech-Owl,Megascops trichopsis,2,
,Great Horned Owl,Bubo virginianus,1,
,Snowy Owl,Bubo scandiacus,2,
,Northern Hawk Owl,Surnia ulula,2,
,Northern Pygmy-Owl,Glaucidium gnoma,2,
,Ferruginous Pygmy-Owl,Glaucidium brasilianum,3,
,Elf Owl,Micrathene whitneyi,2,
,Burrowing Owl,Athene cunicularia,1,
,Mottled Owl,Ciccaba virgata,5,
,Spotted Owl,Strix occidentalis,2,
,Barred Owl,Strix varia,1,
,Great Gray Owl,Strix nebulosa,2,
,Long-eared Owl,Asio otus,2,
,Stygian Owl,Asio stygius,5,
,Short-eared Owl,Asio flammeus,1,
,Boreal Owl,Aegolius funereus,2,
,Northern Saw-whet Owl,Aegolius acadicus,2,
,Northern Boobook,Ninox scutulata,5,
Goatsuckers (Caprimulgidae),Lesser Nighthawk,Chordeiles acutipennis,1,
,Common Nighthawk,Chordeiles minor,1,
,Antillean Nighthawk,Chordeiles gundlachii,2,
,Common Pauraque,Nyctidromus albicollis,2,
,Common Poorwill,Phalaenoptilus nuttallii,1,
,Chuck-will's-widow,Antrostomus carolinensis,1,
,Buff-collared Nightjar,Antrostomus ridgwayi,3,
,Eastern Whip-poor-will,Antrostomus vociferus,1,
,Mexican Whip-poor-will,Antrostomus arizonae,1,
,Gray Nightjar,Caprimulgus indicus,5,
Swifts (Apodidae),Black Swift,Cypseloides niger,2,
,White-collared Swift,Streptoprocne zonaris,4,
,Chimney Swift,Chaetura pelagica,1,
,Vaux's Swift,Chaetura vauxi,1,
,White-throated Needletail,Hirundapus caudacutus,5,
,Common Swift,Apus apus,5,
,Fork-tailed Swift,Apus pacificus,4,
,White-throated Swift,Aeronautes saxatalis,1,
,Antillean Palm-Swift,Tachornis phoenicobia,5,
Hummingbirds (Trochilidae),Green Violetear,Colibri thalassinus,3,
,Green-breasted Mango,Anthracothorax prevostii,4,
,Magnificent Hummingbird,Eugenes fulgens,2,
,Plain-capped Starthroat,Heliomaster constantii,4,
,Blue-throated Hummingbird,Lampornis clemenciae,2,
,Bahama Woodstar,Calliphlox evelynae,5,
,Lucifer Hummingbird,Calothorax lucifer,2,
,Ruby-throated Hummingbird,Archilochus colubris,1,
,Black-chinned Hummingbird,Archilochus alexandri,1,
,Anna's Hummingbird,Calypte anna,1,
,Costa's Hummingbird,Calypte costae,1,
,Bumblebee Hummingbird,Atthis heloisa,5,
,Broad-tailed Hummingbird,Selasphorus platycercus,1,
,Rufous Hummingbird,Selasphorus rufus,1,
,Allen's Hummingbird,Selasphorus sasin,1,
,Calliope Hummingbird,Selasphorus calliope,1,
,Broad-billed Hummingbird,Cynanthus latirostris,2,
,Berylline Hummingbird,Amazilia beryllina,3,
,Buff-bellied Hummingbird,Amazilia yucatanensis,2,
,Cinnamon Hummingbird,Amazilia rutila,5,
,Violet-crowned Hummingbird,Amazilia violiceps,2,
,White-eared Hummingbird,Hylocharis leucotis,3,
,Xantus's Hummingbird,Hylocharis xantusii,5,
Trogons (Trogonidae),Elegant Trogon,Trogon elegans,2,
,Eared Quetzal,Euptilotis neoxenus,4,
Hoopoes (Upupidae),Eurasian Hoopoe,Upupa epops,5,
Kingfishers (Alcedinidae),Ringed Kingfisher,Megaceryle torquata,2,
,Belted Kingfisher,Megaceryle alcyon,1,
,Amazon Kingfisher,Chloroceryle amazona,5,
,Green Kingfisher,Chloroceryle americana,2,
Woodpeckers and Allies (Picidae),Eurasian Wryneck,Jynx torquilla,5,
,Lewis's Woodpecker,Melanerpes lewis,1,
,Red-headed Woodpecker,Melanerpes erythrocephalus,1,
,Acorn Woodpecker,Melanerpes formicivorus,1,
,Gila Woodpecker,Melanerpes uropygialis,1,
,Golden-fronted Woodpecker,Melanerpes aurifrons,1,
,Red-bellied Woodpecker,Melanerpes carolinus,1,
,Williamson's Sapsucker,Sphyrapicus thyroideus,1,
,Yellow-bellied Sapsucker,Sphyrapicus varius,1,
,Red-naped Sapsucker,Sphyrapicus nuchalis,1,
,Red-breasted Sapsucker,Sphyrapicus ruber,1,
,Great Spotted Woodpecker,Dendrocopos major,4,
,Ladder-backed Woodpecker,Picoides scalaris,1,
,Nuttall's Woodpecker,Picoides nuttallii,1,
,Downy Woodpecker,Picoides pubescens,1,
,Hairy Woodpecker,Picoides villosus,1,
,Arizona Woodpecker,Picoides arizonae,2,
,Red-cockaded Woodpecker,Picoides borealis,2,
,White-headed Woodpecker,Picoides albolarvatus,1,
,American Three-toed Woodpecker,Picoides dorsalis,2,
,Black-backed Woodpecker,Picoides arcticus,2,
,Northern Flicker,Colaptes auratus,1,
,Gilded Flicker,Colaptes chrysoides,2,
,Pileated Woodpecker,Dryocopus pileatus,1,
,Ivory-billed Woodpecker,Campephilus principalis,6,
Caracaras and Falcons (Falconidae),Collared Forest-Falcon,Micrastur semitorquatus,5,
,Crested Caracara,Caracara cheriway,1,
,Eurasian Kestrel,Falco tinnunculus,4,
,American Kestrel,Falco sparverius,1,
,Red-footed Falcon,Falco vespertinus,5,
,Merlin,Falco columbarius,1,
,Eurasian Hobby,Falco subbuteo,4,
,Aplomado Falcon,Falco femoralis,3,
,Gyrfalcon,Falco rusticolus,2,
,Peregrine Falcon,Falco peregrinus,1,
,Prairie Falcon,Falco mexicanus,1,
